"country_code","count"
"AD",58
"AE",643
"AF",32534
"AG",181
"AI",44
"AL",4348
"AM",3368
"AO",16408
"AQ",3
"AR",7019
"AS",149
"AT",20703
"AU",18996
"AW",105
"AX",371
"AZ",5213
"BA",21994
"BB",584
"BD",48772
"BE",12660
"BF",9262
"BG",7150
"BH",124
"BI",6969
"BJ",3717
"BL",28
"BM",23
"BN",218
"BO",16318
"BQ",88
"BR",54872
"BS",354
"BT",250
"BW",1810
"BY",25626
"BZ",468
"CA",19943
"CC",2
"CD",36764
"CF",5700
"CG",5807
"CH",13199
"CI",10714
"CK",58
"CL",4865
"CM",13488
"CN",713981
"CO",33622
"CR",2328
"CU",13246
"CV",327
"CW",96
"CX",7
"CY",741
"CZ",16427
"DE",79485
"DJ",49
"DK",7254
"DM",118
"DO",7939
"DZ",8290
"EC",7339
"EE",7051
"EG",10952
"EH",34
"ER",1363
"ES",30126
"ET",10865
"FI",14510
"FJ",2235
"FK",56
"FM",475
"FO",187
"FR",59839
"GA",3937
"GB",18267
"GD",280
"GE",5131
"GF",631
"GG",260
"GH",13462
"GI",4
"GL",255
"GM",2035
"GN",6799
"GP",1552
"GQ",2084
"GR",14938
"GS",2
"GT",9566
"GU",126
"GW",4296
"GY",551
"HK",1152
"HN",12088
"HR",9668
"HT",10935
"HU",15925
"ID",253823
"IE",9900
"IL",1622
"IM",43
"IN",553923
"IO",5
"IQ",23835
"IR",81702
"IS",139
"IT",62054
"JE",85
"JM",2173
"JO",1603
"JP",50168
"KE",5586
"KG",2540
"KH",11018
"KI",207
"KM",401
"KN",127
"KP",31620
"KR",56371
"KW",127
"KY",68
"KZ",12071
"LA",15129
"LB",3700
"LC",191
"LI",360
"LK",17749
"LR",6311
"LS",391
"LT",19856
"LU",667
"LV",4021
"LY",891
"MA",46510
"MC",8
"MD",1806
"ME",4047
"MF",61
"MG",24172
"MH",113
"MK",2755
"ML",14956
"MM",39448
"MN",1540
"MO",7
"MP",45
"MQ",1263
"MR",1062
"MS",81
"MT",288
"MU",549
"MV",109
"MW",5081
"MX",244344
"MY",20163
"MZ",22673
"NA",2060
"NC",648
"NE",12877
"NF",4
"NG",53404
"NI",2805
"NL",7708
"NO",13233
"NP",83946
"NR",14
"NU",50
"NZ",3028
"OM",5043
"PA",6936
"PE",41055
"PF",318
"PG",11619
"PH",43971
"PK",146253
"PL",47206
"PM",5
"PN",2
"PR",2504
"PS",1248
"PT",16607
"PW",87
"PY",4975
"QA",227
"RE",773
"RO",18203
"RS",9501
"RU",201188
"RW",10062
"SA",3296
"SB",3075
"SC",40
"SD",7463
"SE",28382
"SG",372
"SH",13
"SI",6660
"SJ",10
"SK",5006
"SL",14083
"SM",24
"SN",9690
"SO",4500
"SR",526
"SS",5261
"ST",243
"SV",3531
"SX",61
"SY",11686
"SZ",114
"TC",43
"TD",11678
"TF",2
"TG",4156
"TH",85862
"TJ",2756
"TK",5
"TL",3434
"TM",1282
"TN",1849
"TO",144
"TR",53464
"TT",459
"TV",27
"TW",16092
"TZ",7744
"UA",33239
"UG",11351
"UM",12
"US",192971
"UY",1087
"UZ",7148
"VA",1
"VC",91
"VE",24942
"VG",22
"VI",229
"VN",41341
"VU",1329
"WF",98
"WS",412
"XK",2513
"YE",50957
"YT",157
"ZA",13247
"ZM",12861
"ZW",2086
