"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","country_code","cc2","admin1_code","admin2_code","admin3_code","admin4_code","population","elevation","dem","timezone","modification_date"
2463810,"Matmata","Matmata","Kalaa Matmata,Matmata,Matmatah,Maţmāţah,Матмата",33.5444,9.97157,"P","PPL","TN","",29,5158,515851,"",2406,NULL,378,"Africa/Tunis","2018-08-05"
2463839,"Zorgane","Zorgane","Zorgane,Zurqan,Zurqān",33.9964,8.23219,"P","PPL","TN","",35,6252,625253,"",0,NULL,66,"Africa/Tunis","2018-08-05"
2463841,"Zreg Berrania","Zreg Berrania","Zerig,Zreg Berrania,Zrig Berrania,Zurayq Barraniyah,Zurayq Barrānīyah",33.7358,10.1616,"P","PPL","TN","",29,5160,516063,"",0,NULL,43,"Africa/Tunis","2018-08-05"
2463868,"Zola","Zola","Zala,Zola",35.6,10.8667,"P","PPL","TN","TN",16,3258,325856,"",0,NULL,12,"Africa/Tunis","2018-08-05"
2463872,"Zmertene","Zmertene","Zemerten,Zmertene",33.4217,10.1264,"P","PPL","TN","",29,5160,516062,"",0,NULL,549,"Africa/Tunis","2018-08-05"
2463941,"Zaouiet Sousse","Zaouiet Sousse","Zaouia Sousse,Zaouiet,Zaouiet Sousse,Zawiyat Susah,Zowya,Zāwiyat Sūsah",35.7855,10.6272,"P","PPL","TN","",23,3166,316651,"",0,NULL,30,"Africa/Tunis","2018-08-05"
2463942,"Zaouïa Sidi Ameur","Zaouia Sidi Ameur","Sidi Ameur,Zaouia Sidi Ameur,Zaouïa Sidi Ameur,Zawiyat Sidi `Amir,Zāwiyat Sīdī ‘Āmir",35.8614,9.5226,"P","PPL","TN","",22,"","","",0,NULL,545,"Africa/Tunis","2012-01-18"
2463943,"Zaouïa Sidi Abd er Rahmane el Gara","Zaouia Sidi Abd er Rahmane el Gara","Abd er Rahmane,Abd er Rahmane el Garsi Zaouia,Abd er Rahmane el Garsi Zaouïa,Zaouia Sidi Abd er Rahmane el Gara,Zaouïa Sidi Abd er Rahmane el Gara,Zawiyat Sidi `Abd ar Rahman al Qarisi,Zāwiyat Sīdī ‘Abd ar Raḩmān al Qārişī",36.15,10.25,"P","PPL","TN","",23,3160,316059,"",0,NULL,141,"Africa/Tunis","2018-08-05"
2463944,"Zaouïet Sidi Abdelli","Zaouiet Sidi Abdelli","Zaouiet Sidi Abdelli,Zaouïet Sidi Abdelli,Zawiyat Sidi `Abdalli,Zāwiyat Sīdī ‘Abdallī",36.7,9.48333,"P","PPL","TN","",17,2157,215761,"",0,NULL,269,"Africa/Tunis","2018-08-05"
2463945,"Zaouiet Kountech","Zaouiet Kountech","Zaouiet Kountech,Zawiyat Quntash,Zāwiyat Qunţash",35.6333,10.7667,"P","PPL","TN","",16,3256,325653,"",0,NULL,26,"Africa/Tunis","2018-08-05"
2463946,"Zaouiet Medien","Zaouiet Medien","Amdoun,Madien,Zaouiet,Zaouiet Madien,Zaouiet Medien,Zawiyat Madyan,Zāwiyat Madyan",36.7677,9.08894,"P","PPL","TN","",17,2153,215351,"",0,NULL,434,"Africa/Tunis","2018-08-05"
2463947,"Boukrim","Boukrim","Boukrim,Zaouiet Bou Krim,Zawiyat Bu Karim,Zāwiyat Bū Karīm",36.9222,10.9336,"P","PPL","TN","",19,1559,155955,"",0,NULL,102,"Africa/Tunis","2018-08-05"
2463948,"Zaouiet Azmour","Zaouiet Azmour","Zaouiet Azmour,Zaouiet Lazmour,Zawiyat az Zumur,Zāwiyat az Zumūr",36.9244,11.0078,"P","PPL","TN","",19,1557,155753,"",0,NULL,55,"Africa/Tunis","2018-08-05"
