"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","country_code","cc2","admin1_code","admin2_code","admin3_code","admin4_code","population","elevation","dem","timezone","modification_date"
5285308,"Elba","Elba","",39.9483,-103.218,"P","PPL","US","","CO",121,"","",0,1434,1435,"America/Denver","2006-01-15"
5285318,"Gilman","Gilman","Battle Mountain,Clinton,Gilman,Rock Creek",39.5328,-106.394,"P","PPL","US","","CO","037","","",0,2728,2736,"America/Denver","2006-01-15"
5285334,"Koen","Koen","",38.0714,-102.347,"P","PPL","US","","CO","099","","",0,1070,1073,"America/Denver","2010-02-14"
5285428,"Smith Hill","Smith Hill","",39.7783,-105.459,"P","PPL","US","","CO","047","","",0,2333,2344,"America/Denver","2006-01-15"
5285442,"Tiffany","Tiffany","",37.0328,-107.538,"P","PPL","US","","CO","067","","",0,1933,1933,"America/Denver","2006-01-15"
5285466,"Warwick","Warwick","",38.1239,-102.274,"P","PPL","US","","CO","099","","",0,1093,1094,"America/Denver","2010-02-14"
5411306,"Abarr","Abarr","Abarr,Brownsville",39.8505,-102.707,"P","PPL","US","","CO",125,"","",0,1293,1293,"America/Denver","2006-01-15"
5411311,"Abbeyville","Abbeyville","",38.7775,-106.492,"P","PPL","US","","CO","051","","",0,3027,3039,"America/Denver","2006-01-15"
5411319,"Abeyta","Abeyta","",37.0797,-104.186,"P","PPL","US","","CO","071","","",0,1745,1747,"America/Denver","2010-02-14"
5411322,"Able","Able","",38.0606,-102.87,"P","PPL","US","","CO","011","","",0,1153,1152,"America/Denver","2006-01-15"
5411343,"Acequia","Acequia","Acequia,Ascequia",39.5236,-105.028,"P","PPL","US","","CO","035","","",0,1694,1694,"America/Denver","2006-01-15"
5411358,"Acres Green","Acres Green","",39.5567,-104.896,"P","PPL","US","","CO","035","","",3007,1778,1783,"America/Denver","2011-05-14"
5411360,"Adams City","Adams City","",39.8266,-104.929,"P","PPLX","US","","CO","001","","",0,1565,1569,"America/Denver","2007-02-14"
5411363,"Adams County","Adams County","Adams,Adams Kun,Adams Kūn,Adams konderria,Adams megye,Adams srjan,Adamsi maakond,Comitatul Adams,Comte d'Adams,Comté d'Adams,Condado de Adams,Condado han Adams,Contea di Adams,Hrabstwo Adams,Okrug Adams,Quan Adams,Quận Adams,adamuzu jun,mqatʿt adamz,shhrstan adamz  klradw,ya dang si xian,Адамс,Округ Адамс,Ադամս շրջան,ایڈمز کاؤنٹی، کولوراڈو,شهرستان آدامز، کلرادو,مقاطعة آدامز,অ্যডামস কাউন্টি,アダムズ郡,亞當斯縣",39.8736,-104.338,"A","ADM2","US","","CO","001","","",441603,1575,1573,"America/Denver","2018-04-25"
5411379,"Adelaide","Adelaide","",38.56,-105.091,"P","PPL","US","","CO","043","","",0,2118,2129,"America/Denver","2006-01-15"
5411380,"Adelaide (historical)","Adelaide (historical)","",39.2472,-106.258,"P","PPLQ","US","","CO","065","","",0,3299,3313,"America/Denver","2011-12-11"
5411411,"Agate","Agate","Agate,Gebhard",39.4617,-103.942,"P","PPL","US","","CO","039","","",0,1660,1665,"America/Denver","2006-01-15"
5411432,"Aguilar","Aguilar","",37.4028,-104.653,"P","PPL","US","","CO","071","","",476,1947,1948,"America/Denver","2017-03-09"
5411454,"Akin","Akin","",39.2547,-108.263,"P","PPL","US","","CO","077","","",0,1483,1482,"America/Denver","2006-01-15"
5411472,"Alamo","Alamo","",37.6556,-104.959,"P","PPL","US","","CO","055","","",0,2082,2086,"America/Denver","2010-02-14"
5411477,"Alamo Placita","Alamo Placita","",39.7208,-104.976,"P","PPLX","US","","CO","031","","",0,1606,1615,"America/Denver","2018-03-23"
5411479,"Alamosa","Alamosa","ALS,Alamosa,Alamoza,a la mo sa,alamwsa,alamwsa  klradw,elamoja,Аламоза,Аламоса,آلاموسا، کلرادو,ألاموسا,الاموسا، کولوراڈو,एलामोजा,阿拉莫萨",37.4695,-105.87,"P","PPLA2","US","","CO","003","","",9819,2299,2303,"America/Denver","2017-03-09"
5411522,"Alder","Alder","",38.3694,-106.039,"P","PPL","US","","CO",109,"","",0,2604,2605,"America/Denver","2006-01-15"
5411556,"Alice","Alice","",39.8183,-105.643,"P","PPL","US","","CO","019","","",0,3076,3085,"America/Denver","2006-01-15"
5411636,"Allison","Allison","Allison,Vallejo",37.0244,-107.488,"P","PPL","US","","CO","067","","",0,1895,1894,"America/Denver","2006-01-15"
5411642,"Alma","Alma","Alma,a er ma,alma,alma  klradw,elma,Алма,آلما، کلرادو,ألما,الما، کولوراڈو,एल्मा,阿尔玛",39.2839,-106.063,"P","PPL","US","","CO","093","","",277,3158,3160,"America/Denver","2017-03-09"
5411644,"Alma Junction","Alma Junction","",39.2675,-106.045,"P","PPL","US","","CO","093","","",0,3126,3130,"America/Denver","2006-01-15"
