"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","country_code","cc2","admin1_code","admin2_code","admin3_code","admin4_code","population","elevation","dem","timezone","modification_date"
4048442,"Belcamp","Belcamp","Belcamp,Belcamp Beach",39.469,-76.2333,"P","PPL","US","","MD","025","","",0,6,8,"America/New_York","2010-09-05"
4048826,"Asbury Woods","Asbury Woods","",39.147,-76.8177,"P","PPL","US","","MD","027","","",0,69,73,"America/New_York","2006-01-15"
4048972,"Braddock","Braddock","Braddock,Fairview,Old Braddock",39.4209,-77.4769,"P","PPL","US","","MD","021","","",0,155,153,"America/New_York","2006-01-15"
4048974,"Bush Creek Estates","Bush Creek Estates","",39.3654,-77.2761,"P","PPL","US","","MD","021","","",0,150,148,"America/New_York","2006-01-15"
4048976,"Corner House","Corner House","",39.3951,-77.5908,"P","PPL","US","","MD","021","","",0,145,150,"America/New_York","2006-01-15"
4048978,"Clayton","Clayton","",39.4504,-76.3547,"P","PPL","US","","MD","025","","",0,57,62,"America/New_York","2010-09-05"
4048984,"College Park Woods","College Park Woods","",39.0087,-76.9511,"P","PPL","US","","MD","033","","",0,55,57,"America/New_York","2006-01-15"
4048986,"Cloisters","Cloisters","",39.3871,-76.6264,"P","PPL","US","","MD","005","","",0,131,138,"America/New_York","2006-01-15"
4048988,"Cohill Estates","Cohill Estates","",39.7001,-78.2081,"P","PPL","US","","MD","043","","",0,197,197,"America/New_York","2006-01-15"
4048994,"Dasher Green","Dasher Green","",39.1904,-76.8494,"P","PPL","US","","MD","027","","",0,98,99,"America/New_York","2006-01-15"
4048996,"Crawford Acres (historical)","Crawford Acres (historical)","",39.4065,-75.883,"P","PPLQ","US","","MD","015","","",0,23,21,"America/New_York","2011-12-11"
4049000,"Dennings","Dennings","",39.4918,-77.0722,"P","PPL","US","","MD","013","","",0,242,236,"America/New_York","2006-01-15"
4049006,"Fitzell","Fitzell","Fitzell,Fritzell",39.2334,-76.4636,"P","PPL","US","","MD","005","","",0,5,7,"America/New_York","2006-01-15"
4049008,"Ernstville","Ernstville","",39.6329,-78.0267,"P","PPL","US","","MD","043","","",56,127,125,"America/New_York","2011-05-14"
4049012,"Emmorton","Emmorton","",39.4954,-76.3227,"P","PPL","US","","MD","025","","",0,95,97,"America/New_York","2010-09-05"
4049018,"Fairview","Fairview","",39.7123,-77.843,"P","PPL","US","","MD","043","","",76,151,151,"America/New_York","2011-05-14"
4049020,"Sewell Mills","Sewell Mills","",38.9965,-75.7791,"P","PPL","US","","MD","011","","",0,10,14,"America/New_York","2010-09-05"
4049022,"Millwood","Millwood","",39.6673,-76.85,"P","PPL","US","","MD","013","","",0,252,260,"America/New_York","2006-01-15"
4049028,"Hallmark Estates","Hallmark Estates","",38.6176,-76.6413,"P","PPL","US","","MD","009","","",0,34,40,"America/New_York","2006-01-15"
4049032,"Jessup","Jessup","Andersonville,Dzesap,Hooversville,Jessup,Jessups,Jessups Cut,Jessups Cut Station,Pierceland,jswp  mrylnd,Џесап,جسوپ، مریلند",39.1493,-76.7753,"P","PPL","US","","MD","003","","",7137,63,70,"America/New_York","2011-05-14"
4049034,"Hudson Corner","Hudson Corner","Hudson Corner,Hudsons Corner",38.0532,-75.7085,"P","PPL","US","","MD","039","","",0,1,2,"America/New_York","2006-01-15"
4049044,"Manokin","Manokin","",38.3823,-75.6177,"P","PPL","US","","MD","045","","",0,11,13,"America/New_York","2006-01-15"
4049046,"McCoole","McCoole","McCool,McCoole",39.4465,-78.9723,"P","PPL","US","","MD","001","","",511,250,249,"America/New_York","2011-05-14"
4049048,"Marion","Marion","Marion,Marion Station,Somerset",38.0393,-75.7708,"P","PPL","US","","MD","039","","",0,2,4,"America/New_York","2010-02-15"
4049056,"New Germany","New Germany","New Germany,Old Dutch Settlement",39.6326,-79.1223,"P","PPL","US","","MD","023","","",0,752,759,"America/New_York","2006-01-15"
4049074,"Polk Landing","Polk Landing","",38.2651,-75.7205,"P","PPL","US","","MD","039","","",0,5,8,"America/New_York","2010-02-15"
4049078,"Rockawalking Estates","Rockawalking Estates","",38.364,-75.6771,"P","PPL","US","","MD","045","","",0,9,11,"America/New_York","2010-02-19"
4049086,"Woodbine","Woodbine","Woodbine,Woodbine Mills",39.3598,-77.0625,"P","PPL","US","","MD","013","","",0,146,149,"America/New_York","2010-02-15"
4049088,"Weldon","Weldon","",39.4787,-77.1178,"P","PPL","US","","MD","013","","",0,197,191,"America/New_York","2006-01-15"
4049094,"Thomas Manor","Thomas Manor","",38.471,-76.8978,"P","PPL","US","","MD","017","","",0,50,48,"America/New_York","2010-02-19"
4049104,"Westlake","Westlake","",38.3876,-75.5988,"P","PPL","US","","MD","045","","",0,5,10,"America/New_York","2010-02-19"
4049106,"Wesley","Wesley","",38.3471,-76.0833,"P","PPL","US","","MD","019","","",0,1,2,"America/New_York","2006-01-15"
4049108,"Wesley Woods","Wesley Woods","",39.4696,-76.4122,"P","PPL","US","","MD","005","","",0,95,114,"America/New_York","2006-01-15"
4049110,"Whitehurst","Whitehurst","",39.0826,-76.5266,"P","PPL","US","","MD","003","","",0,6,8,"America/New_York","2006-01-15"
4049114,"White Hall","White Hall","",39.5876,-75.8383,"P","PPL","US","","MD","015","","",0,11,11,"America/New_York","2010-02-15"
4144295,"Reliance","Reliance","Johnsons Crossroads,Reliance",38.6354,-75.7063,"P","PPL","US","","MD","019","","",0,13,12,"America/New_York","2007-02-14"
4346909,"Abell","Abell","",38.2543,-76.7436,"P","PPL","US","","MD","037","","",0,4,11,"America/New_York","2010-02-15"
4346913,"Aberdeen","Aberdeen","APG,Aberdeen,Aberdin,Halls Cross Roads,Mechanicsville,a bo ding,abadin,abrdyn,abrdyn  mrylnd,aebeodin,Абердин,Աբերդին,آبردین، مریلند,أبردين,ایبرڈین، میری لینڈ,アバディーン,阿伯丁,애버딘",39.5096,-76.1641,"P","PPL","US","","MD","025","","",15580,29,25,"America/New_York","2017-09-24"
4346918,"Aberdeen Hills","Aberdeen Hills","",39.5259,-76.1769,"P","PPLX","US","","MD","025","","",0,61,64,"America/New_York","2007-02-14"
4346928,"Abingdon","Abingdon","",39.4623,-76.2791,"P","PPL","US","","MD","025","","",0,50,49,"America/New_York","2010-09-05"
4346932,"Abingdon Reserve","Abingdon Reserve","",39.4659,-76.283,"P","PPL","US","","MD","025","","",0,55,55,"America/New_York","2006-01-15"
4346935,"Abington Shores","Abington Shores","",38.5854,-76.6677,"P","PPL","US","","MD","009","","",0,7,13,"America/New_York","2006-01-15"
4346937,"Academy Acres","Academy Acres","",39.4482,-76.8019,"P","PPL","US","","MD","005","","",0,191,192,"America/New_York","2006-01-15"
4346938,"Academy Acres","Academy Acres","",39.4595,-77.0341,"P","PPL","US","","MD","013","","",0,243,239,"America/New_York","2006-01-15"
4346940,"Academy Heights","Academy Heights","",39.2821,-76.7227,"P","PPL","US","","MD","005","","",0,135,133,"America/New_York","2006-01-15"
4346941,"Academy Hill","Academy Hill","",38.6598,-76.6616,"P","PPL","US","","MD","009","","",0,41,40,"America/New_York","2010-02-19"
4346942,"Academy Hills","Academy Hills","",39.6568,-75.8552,"P","PPL","US","","MD","015","","",0,67,67,"America/New_York","2006-01-15"
4346943,"Academy Junction","Academy Junction","",39.0896,-76.6983,"P","PPL","US","","MD","003","","",0,40,40,"America/New_York","2006-01-15"
4346945,"Academy Lane","Academy Lane","",39.4357,-76.7864,"P","PPL","US","","MD","005","","",0,181,187,"America/New_York","2006-01-15"
4346947,"Accident","Accident","",39.6287,-79.3198,"P","PPL","US","","MD","023","","",316,727,728,"America/New_York","2017-03-09"
4346951,"Acco Park","Acco Park","",38.674,-77,"P","PPL","US","","MD","033","","",0,62,68,"America/New_York","2006-01-15"
4346952,"Accokeek","Accokeek","Accokeek,Moyaone",38.6676,-77.0283,"P","PPL","US","","MD","033","","",10573,58,67,"America/New_York","2011-05-14"
4346953,"Accokeek Acres","Accokeek Acres","",38.6687,-76.9933,"P","PPL","US","","MD","033","","",0,61,63,"America/New_York","2010-02-15"
4346963,"Accokeek Lawn","Accokeek Lawn","",38.6696,-77.0386,"P","PPL","US","","MD","033","","",0,54,62,"America/New_York","2006-01-15"
4346965,"Acredale","Acredale","",39.0029,-76.9427,"P","PPL","US","","MD","033","","",0,32,30,"America/New_York","2006-01-15"
4346966,"Acresville","Acresville","",39.1779,-76.6114,"P","PPL","US","","MD","003","","",0,12,15,"America/New_York","2006-01-15"
4346969,"Acton Village","Acton Village","",38.6407,-76.9053,"P","PPL","US","","MD","017","","",0,61,58,"America/New_York","2010-02-19"
4346971,"Adams Chance","Adams Chance","",39.5759,-76.8817,"P","PPL","US","","MD","013","","",0,232,223,"America/New_York","2006-01-15"
4346976,"Four Star Mobile Home Park","Four Star Mobile Home Park","Adams Mobile Home Park,Four Star Mobile Home Park",39.5296,-76.126,"P","PPL","US","","MD","025","","",0,18,17,"America/New_York","2010-02-19"
4346978,"Adamstown","Adamstown","Adamstown,Adamstown Junction,Adamsville,Davis Warehouse",39.3109,-77.4747,"P","PPL","US","","MD","021","","",2372,93,94,"America/New_York","2011-05-14"
4346981,"Adamstown Village","Adamstown Village","",39.3168,-77.5064,"P","PPL","US","","MD","021","","",0,104,100,"America/New_York","2006-01-15"
4346989,"Adams Heights","Adams Heights","",39.5379,-76.1802,"P","PPL","US","","MD","025","","",0,89,84,"America/New_York","2006-01-15"
4346990,"Adelina","Adelina","Adalina,Adelina",38.4807,-76.6214,"P","PPL","US","","MD","009","","",0,39,38,"America/New_York","2010-02-15"
4346991,"Adelphi","Adelphi","Adelphi,Riggs Mill Village",39.0032,-76.9719,"P","PPL","US","","MD","033","","",15086,52,56,"America/New_York","2011-05-14"
4346995,"Adelphi Park","Adelphi Park","Adelphi Manor,Adelphi Park",38.9865,-76.968,"P","PPL","US","","MD","033","","",0,22,29,"America/New_York","2006-01-15"
4346999,"Adil Meadows","Adil Meadows","",39.294,-76.7552,"P","PPL","US","","MD","005","","",0,151,145,"America/New_York","2006-01-15"
4347007,"Admiral Heights","Admiral Heights","",38.9848,-76.5186,"P","PPL","US","","MD","003","","",0,11,14,"America/New_York","2010-02-15"
4347008,"Admirals Walk","Admirals Walk","",39.0346,-76.4472,"P","PPL","US","","MD","003","","",0,11,16,"America/New_York","2006-01-15"
4347009,"Advocate Hill Farms","Advocate Hill Farms","",39.5995,-76.4611,"P","PPL","US","","MD","025","","",0,189,182,"America/New_York","2006-01-15"
4347010,"Advocates Choice","Advocates Choice","",39.6418,-76.983,"P","PPL","US","","MD","013","","",0,214,213,"America/New_York","2006-01-15"
4347011,"Ady","Ady","",39.6387,-76.3327,"P","PPL","US","","MD","025","","",0,144,141,"America/New_York","2010-09-05"
4347012,"Ady Estates","Ady Estates","",39.6679,-76.3539,"P","PPL","US","","MD","025","","",0,121,123,"America/New_York","2006-01-15"
4347013,"Aero Acres","Aero Acres","",39.3323,-76.453,"P","PPL","US","","MD","005","","",0,19,21,"America/New_York","2006-01-15"
4347018,"Agner","Agner","Agner,Chestnut Grove,Chestnut Woods",38.7557,-75.7894,"P","PPL","US","","MD","011","","",0,14,17,"America/New_York","2010-09-05"
