"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","country_code","cc2","admin1_code","admin2_code","admin3_code","admin4_code","population","elevation","dem","timezone","modification_date"
4046230,"Cherokee","Cherokee","",30.9824,-98.7075,"P","PPL","US","","TX",411,"","",0,456,459,"America/Chicago","2006-01-15"
4046242,"College Hill","College Hill","College Hill,Collegehill",33.4157,-94.613,"P","PPL","US","","TX","037","","",0,114,116,"America/Chicago","2006-01-15"
4046246,"Concrete","Concrete","",29.2383,-97.293,"P","PPL","US","","TX",123,"","",0,82,86,"America/Chicago","2006-01-15"
4046252,"Cost","Cost","",29.4375,-97.5289,"P","PPL","US","","TX",177,"","",0,113,117,"America/Chicago","2006-01-15"
4046264,"Doty","Doty","",30.1602,-93.946,"P","PPL","US","","TX",361,"","",0,6,11,"America/Chicago","2006-01-15"
4046270,"East Fresnos Colonia","East Fresnos Colonia","",26.1342,-97.4703,"P","PPL","US","","TX","061","","",0,4,8,"America/Chicago","2006-01-15"
4046274,"Edna","Edna","Edna,Ednaville,Macaroni Station,adna,adna  tgzas,Една,إدنا,ادنا، تگزاس",28.9786,-96.6461,"P","PPLA2","US","","TX",239,"","",5792,20,24,"America/Chicago","2017-03-09"
4046276,"El Monte Colonia","El Monte Colonia","El Monte Colonia,El Monte Subdivision Colonia",26.3304,-97.9864,"P","PPL","US","","TX",215,"","",0,21,24,"America/Chicago","2010-02-20"
4046286,"Evans","Evans","",32.9412,-94.2527,"P","PPL","US","","TX","067","","",0,88,97,"America/Chicago","2006-01-15"
4046294,"Fischer","Fischer","Fischer,Fischer Store,Fischer's Store",29.9769,-98.2658,"P","PPL","US","","TX","091","","",0,350,357,"America/Chicago","2006-01-15"
4046332,"Henderson","Henderson","Khenderson,hndrswn,hndrswn  tgzas,Хендерсон,هندرسون,هندرسون، تگزاس",32.1532,-94.7994,"P","PPLA2","US","","TX",401,"","",13529,156,160,"America/Chicago","2017-03-09"
4046336,"High","High","",33.6123,-95.7472,"P","PPL","US","","TX",277,"","",0,177,177,"America/Chicago","2006-01-15"
4046348,"Ignacio Perez Colonia","Ignacio Perez Colonia","",26.1784,-98.1092,"P","PPL","US","","TX",215,"","",0,28,34,"America/Chicago","2010-02-20"
4046350,"Inwood","Inwood","",32.9307,-96.8217,"P","PPL","US","","TX",113,"","",0,192,194,"America/Chicago","2006-01-15"
4046364,"Kittrell","Kittrell","Kittrell,Kittrell's Cut-Off",30.9655,-95.4963,"P","PPL","US","","TX",471,"","",0,49,57,"America/Chicago","2006-01-15"
4046366,"Koppe","Koppe","",30.5724,-96.3263,"P","PPL","US","","TX","041","","",0,94,99,"America/Chicago","2006-01-15"
4046384,"Los Angeles","Los Angeles","",28.4658,-99,"P","PPL","US","","TX",283,"","",0,123,126,"America/Chicago","2006-01-15"
4046392,"Matilda","Matilda","",28.9594,-96.6794,"P","PPL","US","","TX",239,"","",0,20,24,"America/Chicago","2006-01-15"
4046396,"Meaders","Meaders","",32.8882,-96.8125,"P","PPL","US","","TX",113,"","",0,176,181,"America/Chicago","2006-01-15"
4046398,"Melo","Melo","",28.6244,-97.4203,"P","PPL","US","","TX",175,"","",0,58,59,"America/Chicago","2010-02-18"
4046402,"Midway","Midway","",33.0893,-94.5822,"P","PPL","US","","TX","067","","",0,114,117,"America/Chicago","2006-01-15"
4046404,"Miguel","Miguel","",28.9236,-98.8206,"P","PPL","US","","TX",163,"","",0,160,165,"America/Chicago","2006-01-15"
